trt,Y,X1,X2,X3,X4,X5,X6,E1,E2,E3,Y0,Y1,trueGrp,estGrp,mmt
1,2.766,-0.795,-0.619,1.558,0.739,0.85,-0.626,0,1,1,-3.876,2.766,5,10,5.155
0,1.387,0.606,-1.109,-0.729,0.387,-0.925,0.184,0,1,1,1.387,5.503,5,10,5.194
0,4.094,-1.062,-2.17,-1.504,1.296,0.894,-0.836,0,0,0,4.094,5.327,5,8,5.048
0,-2.597,1.019,-0.031,-0.567,-0.804,-0.941,1.595,1,1,0,-2.597,1.862,5,9,5.056
0,-5.156,0.178,-0.26,-2.104,-1.603,0.539,0.33,1,0,0,-5.156,-0.181,5,1,4.611
0,-4.448,-1.031,0.534,0.531,0.933,-0.182,-0.82,1,0,1,-4.448,1.825,5,8,5.025
0,1.034,1.133,-0.559,1.618,1.806,0.892,0.487,1,1,1,1.034,5.239,5,5,4.927
1,-2.06,0.04,1.608,1.185,-0.057,1.329,0.738,0,1,0,-7.474,-2.06,5,6,4.942
1,2.747,0.597,0.557,1.876,1.886,-0.103,0.576,1,1,0,-0.688,2.747,5,1,4.63
1,2.109,-1.33,0.186,-0.456,1.578,0.615,-0.305,0,1,0,-3.267,2.109,5,1,4.726
0,-0.033,0.615,-1.039,0.669,0.502,-1.8,1.512,1,1,0,-0.033,4.814,5,10,5.126
0,-1.132,0.774,-0.363,-1.283,0.43,-0.263,0.39,0,1,1,-1.132,2.54,5,10,5.232
1,0.701,0.264,-1.377,-0.397,-1.266,-1.21,-0.621,0,1,0,-3.087,0.701,5,7,4.982
1,3.407,-0.939,-0.535,-0.119,2.236,0.204,-2.215,0,1,0,-1.458,3.407,5,1,4.634
0,-3.489,0.952,0.275,-0.957,0.332,-0.014,1.125,1,1,1,-3.489,3.463,5,10,5.125
1,-2.955,-2.158,1.316,0.419,-0.139,-0.235,-0.045,1,0,1,-7.047,-2.955,5,2,4.773
0,-5.11,0.701,-0.17,-0.107,-0.735,-0.188,-0.016,0,0,0,-5.11,1.529,5,7,4.98
1,-5.539,0.865,1.447,-0.299,-2.778,0.951,0.944,0,0,1,-9.72,-5.539,5,6,4.956
1,-0.489,1.595,1.647,0.31,-0.323,-0.154,0.821,1,0,1,-4.965,-0.489,5,5,4.902
1,-1.446,0.911,1.013,0.255,-1.036,1.854,0.594,0,1,0,-6.97,-1.446,5,9,5.075
1,1.289,-2.381,0.053,0.176,0.055,-1.904,0.919,1,1,1,-4.09,1.289,5,4,4.863
0,-0.133,-0.343,0.993,-1.075,1.544,0.359,0.782,1,0,1,-0.133,3.837,5,1,4.591
0,0.725,-2.139,-1.658,0.104,0.964,2.115,0.075,1,0,0,0.725,5.137,5,4,4.874
0,-8.737,1.151,0.142,-1.212,-1.832,-1.136,-1.989,1,0,1,-8.737,-2.279,5,6,4.949
1,3.594,0.55,-0.673,0.431,0.133,-0.796,0.62,0,1,0,-0.905,3.594,5,6,4.952
0,-0.681,0.035,-1.442,-2.213,-1.033,-0.398,-0.056,1,0,0,-0.681,2.69,5,1,4.592
1,-7.501,-1.273,0.832,2.737,-1.728,0.092,-0.156,1,0,0,-10.169,-7.501,5,1,4.617
1,-3.49,-0.422,0.257,0.265,-1.16,-0.239,-1.471,1,0,0,-10.343,-3.49,5,2,4.77
0,-5.954,-0.301,-0.687,-1.519,-1.393,-0.462,-0.478,1,1,0,-5.954,0.583,5,5,4.904
1,-1.187,1.14,-0.015,-0.005,-1.002,1.926,0.418,0,1,0,-5.24,-1.187,5,9,5.073
0,1.986,0.82,-0.855,-2.441,1.348,0.122,1.359,1,1,0,1.986,7.09,5,8,5.005
1,1.176,-1.063,-1.872,0.299,-1.776,1.092,-0.103,1,1,1,-4.973,1.176,5,6,4.932
0,-0.565,0.187,0.741,-2.265,0.37,-2.972,0.388,1,1,0,-0.565,2.411,5,1,4.727
1,3.361,-0.468,-0.346,-0.421,0.042,1.128,-0.054,1,0,1,-3.246,3.361,5,3,4.808
1,4.663,1.034,-1.393,-0.122,-0.133,1.312,-1.377,1,1,0,-1.825,4.663,5,9,5.08
1,2.892,-0.28,-0.781,-0.379,-0.014,-0.483,-0.415,0,0,0,-1.773,2.892,5,3,4.837
0,-5.933,0.25,0.617,-0.839,-0.366,-0.225,-0.394,1,1,0,-5.933,-0.308,5,5,4.892
1,1.107,-0.028,-0.276,0.682,-0.105,1.668,-0.059,1,1,1,-2.592,1.107,5,5,4.903
0,-4.318,-2.167,1.6,0.821,1.66,0.041,1.1,0,1,0,-4.318,0.309,5,1,4.677
0,2.27,0.792,-0.15,-1.62,1.555,1.038,0.763,1,0,0,2.27,5.574,5,1,4.687
0,-4.606,-0.158,1.511,-0.091,0.443,0.588,-0.165,0,0,0,-4.606,-0.92,5,5,4.906
0,-6.178,-0.079,0.415,-1.154,-0.439,-0.158,-0.253,1,0,0,-6.178,-0.989,5,2,4.764
0,2.251,1.05,-0.738,-0.733,1.21,-0.292,0.697,1,1,0,2.251,5.656,5,10,5.268
1,1.908,0.879,-1.61,0.866,-1.423,-1.42,0.557,0,1,1,-4.446,1.908,5,10,5.176
0,-1.81,-0.343,-0.518,-1.635,-0.059,-2.138,-0.689,1,1,1,-1.81,-0.054,5,7,4.984
