trt,Y,X1,X2,X3,X4,X5,X6,E1,E2,E3,Y0,Y1,trueGrp,estGrp,mmt
0,-7.869,1.463,0.257,-1.53,-1.575,1.389,-0.246,1,1,1,-7.869,-0.86,6,7,5.915
0,-4.231,-0.013,0.306,-0.33,-1.751,-1.365,0.528,0,0,1,-4.231,-3.424,1,1,0.883
0,-4.979,0.232,1.306,0.696,-0.25,0.134,0.754,1,1,1,-4.979,-0.294,6,7,6.07
0,-2.744,0.301,-0.446,-0.068,-1.863,-1.425,0.221,0,0,0,-2.744,1.699,5,4,4.805
0,-4.472,1.332,-1.339,0.29,1.508,0.968,-0.129,0,1,0,-4.472,6.104,9,9,9.024
1,-6.291,0.88,-2.501,0.305,-0.463,0.055,-0.716,1,0,1,-6.98,-6.291,2,2,1.913
1,-5.089,0.134,-1.424,0.865,-0.21,0.493,-0.2,1,0,1,-6.009,-5.089,2,2,1.911
1,3.931,0.012,0.759,-0.184,2.836,0.799,0.291,1,1,0,-5.551,3.931,10,10,9.868
1,-6.639,-0.418,-1.452,-0.341,0.354,-0.857,-0.862,0,0,1,-6.403,-6.639,1,1,0.931
0,-5.547,0.755,0.63,-2.145,1.331,-0.446,-0.036,1,1,1,-5.547,-0.611,6,7,6.01
0,-8.549,1.005,-0.722,-0.296,-0.228,1.812,-0.436,1,1,1,-8.549,-0.867,6,8,6.133
0,-6.223,-0.819,-1.818,1.186,0.847,-1.28,0.589,1,1,1,-6.223,-1.992,6,7,6.074
0,-3.673,-0.967,-0.783,-1.25,-0.645,0.97,-0.445,0,0,0,-3.673,1.104,5,4,4.86
0,-6.46,-0.278,-1.477,-2.101,-0.144,0.276,-0.082,0,1,1,-6.46,-1.918,5,5,5.062
0,-4.367,0.082,-0.264,-0.127,-2.351,0.626,0.552,0,0,1,-4.367,-3.063,1,1,0.911
0,-5.262,0.333,1.189,1.715,-1.151,0.324,-1.49,1,1,0,-5.262,3.948,10,9,9.754
0,-5.172,-1.009,0.721,-0.403,-0.278,0.123,0.328,0,1,1,-5.172,0.116,5,5,5.103
0,-6.098,-0.076,-0.614,-0.549,1.392,0.201,0.705,1,0,1,-6.098,-3.587,2,2,1.881
0,-5.713,0.855,0.757,0.577,-0.672,-0.504,0.72,1,1,0,-5.713,6.331,10,10,9.944
1,-4.889,0.56,-1.476,1.572,1.121,-1.248,-0.607,0,0,1,-7.157,-4.889,1,1,0.919
0,-4.406,-0.438,-1.04,-2.193,0.137,-0.985,-0.731,1,1,0,-4.406,5.302,10,10,9.935
1,4.811,-0.412,2.428,0.15,2.186,2.866,-1.373,0,1,0,-4.575,4.811,9,9,9.243
0,-5.539,-0.249,-0.147,1.248,-0.081,-1.184,2.109,1,1,1,-5.539,1.331,6,7,6.034
1,-2.151,-1.188,0.695,1.241,-0.837,1.542,-0.586,0,1,1,-6.917,-2.151,5,5,5.06
0,-6.101,1.802,-1.682,-0.97,-2.092,-1.012,-0.116,0,0,1,-6.101,-2.83,1,1,0.888
0,-6.285,-1.046,-1.214,-0.896,0.593,-0.2,0.884,1,1,0,-6.285,6.915,10,10,9.983
1,-6.817,0.285,-1.582,1.088,0.426,1.36,-0.094,0,0,1,-7.213,-6.817,1,1,0.889
0,-4.446,0.053,0.757,0.846,1.98,0.428,0.801,0,0,1,-4.446,-4.386,1,1,0.803
1,-0.717,0.42,1.309,1.168,-0.799,0.551,-0.124,0,1,1,-6.853,-0.717,5,5,5.08
0,-5.459,-0.21,-1.919,-1.37,-1.671,0.367,0.147,0,1,1,-5.459,-0.986,5,5,4.923
1,4.446,1.392,-0.181,-0.515,-1.222,-0.675,-0.757,1,1,0,-8.065,4.446,10,10,9.803
0,-6.243,0.807,0.412,0.644,-0.337,0.403,0.819,1,1,0,-6.243,5.625,10,10,9.957
0,-5.507,0.66,1.632,0.883,-1.155,0.837,-0.436,0,1,0,-5.507,5.179,9,8,8.826
0,-3.634,0.224,0.556,0.562,-0.296,0.038,0.65,0,1,0,-3.634,4.695,9,9,8.983
1,-0.894,-1.48,1.315,-0.64,-1.327,0.848,-1.866,1,1,1,-10.088,-0.894,6,7,5.957
0,-5.863,0.209,-0.151,0.283,-0.309,-1.305,-0.662,1,0,0,-5.863,0.929,6,7,5.83
1,1.188,0.346,0.474,1.082,-0.064,-1.016,-0.883,1,0,0,-5.915,1.188,6,7,5.805
1,2.26,-1.995,0.317,0.573,1.763,-0.348,0.413,0,0,0,-4.614,2.26,5,4,4.793
1,5.062,0.09,0.483,0.217,1.188,-1.18,0.144,1,1,0,-5.436,5.062,10,10,9.98
1,5.009,0.126,-1.659,1.31,-0.064,-1.617,0.056,1,1,0,-6.706,5.009,10,10,10.003
