trt,Y,X1,X2,X3,X4,X5,X6,E1,E2,E3,Y0,Y1,trueGrp,estGrp,mmt
1,1.722,0.901,1.024,-1.179,-1.604,0.509,-0.013,0,1,0,-9.602,1.722,9,8,9.081
0,1.83,-1.181,-0.221,-0.413,1.465,-1.018,1.3,0,1,0,1.83,10.693,9,9,9.195
0,-6.388,-0.628,-0.028,-0.903,0.033,0.909,0.711,0,0,1,-6.388,-5.748,1,1,1.074
1,-4.495,-1.352,0.335,0.736,1.169,0.798,1.423,1,0,1,-6.079,-4.495,2,3,2.19
1,-5.682,-0.316,1.912,0.893,-1.016,0.732,0.852,0,1,1,-11.398,-5.682,5,3,4.94
1,8.914,-0.136,-2.322,-1.036,0.044,-0.672,-1.746,1,1,0,-2.138,8.914,10,10,10.355
1,-1.849,1.089,-0.489,-0.668,-1.343,0.146,-1.302,0,1,1,-9.012,-1.849,5,3,4.814
1,-1.722,0.495,-0.349,0.252,-1.181,0.732,-0.187,0,1,1,-9.095,-1.722,5,3,4.791
1,-1.356,-0.433,0.614,1.331,0.006,-0.076,1.8,0,1,1,-6.193,-1.356,5,4,5.017
0,-6.32,-0.096,-0.467,-1.069,-1.076,-0.514,-1.374,1,0,0,-6.32,-2.963,6,7,6.133
1,-6.845,-0.531,1.065,-0.028,-1.036,0.659,-1.017,1,1,1,-12.59,-6.845,6,6,5.994
1,6.657,-1.242,-1.072,0.061,-1.448,0.8,1.747,1,1,0,-6.135,6.657,10,9,10.126
1,-6.772,0.442,0.351,-0.148,-0.838,-0.822,-1.443,1,0,1,-9.159,-6.772,2,2,1.96
0,-4.641,-2.041,-0.697,1.13,-0.371,-1.999,-0.498,0,0,0,-4.641,-0.027,5,4,5.05
1,2.04,-0.245,0.307,1.297,-0.776,-0.732,0.81,1,1,0,-6.086,2.04,10,10,10.17
0,-3.833,-2.157,-1.664,-0.112,0.37,-1.838,0.018,0,0,1,-3.833,-0.791,1,2,1.133
0,-2.102,1.415,-0.335,-1.402,1.727,0.341,0.459,0,0,1,-2.102,1.477,1,1,1.056
0,0.075,-1.64,-0.789,0.229,1.046,0.544,1.715,1,1,0,0.075,9.7,10,10,10.249
0,-5.582,0.082,1.421,-1.405,0.471,-0.003,0.429,1,0,0,-5.582,1.094,6,8,6.311
1,5.518,0.981,-3.344,-0.904,-0.052,-0.365,-0.438,1,1,1,-1.788,5.518,6,8,6.269
1,2.347,-0.593,-1.147,-0.716,-0.742,-0.499,1.39,1,1,1,-3.651,2.347,6,6,5.974
1,-3.528,-0.079,0.746,-1.146,-0.023,0.094,-2.01,1,1,1,-8.354,-3.528,6,6,6.003
1,-4.011,-0.376,0.046,-1,-1.325,2.954,0.854,1,1,1,-7.141,-4.011,6,5,5.811
0,-8.372,-0.848,1.126,0.034,-0.12,-0.03,0.94,0,1,1,-8.372,-3.149,5,4,5.041
0,-5.687,0.682,1.037,-0.464,0.054,0.284,1.735,0,0,1,-5.687,-4.323,1,1,1.044
1,2.419,-1.217,-0.659,0.728,0.136,-0.895,-0.957,0,0,0,-5.951,2.419,5,5,5.102
1,4.167,-0.721,0.665,-0.413,0.137,-1.254,1.527,0,1,0,-3.496,4.167,9,9,9.204
0,-2.735,0.716,1.134,0.501,1.088,0.596,0.559,1,1,0,-2.735,5.394,10,10,10.26
1,-4.898,-2.293,-0.934,0.257,-1.806,-0.508,-1.412,1,1,1,-10.628,-4.898,6,5,5.874
0,-1.182,-0.507,-1.672,-1.108,1.185,0.06,-0.904,1,0,0,-1.182,6.338,6,8,6.423
0,-2.416,-2.122,-1.822,-0.551,-0.386,-0.325,0.125,0,1,0,-2.416,7.477,9,9,9.27
0,-7.221,-2.461,-0.808,-0.654,-1.146,0.957,0.394,1,0,0,-7.221,-1.182,6,7,6.142
0,-8.072,-0.412,0.957,-1.73,-0.02,0.57,0.308,1,1,1,-8.072,-1.924,6,7,6.092
1,-7.646,-0.958,1.236,0.793,-1.374,0.197,-1.978,1,0,0,-12.704,-7.646,6,7,6.101
0,-6.682,-0.865,0.014,-1.055,0.528,1.159,-0.49,1,1,1,-6.682,0.635,6,7,6.136
1,-3.058,0.345,-1.09,-0.953,-0.805,0.997,0.893,0,0,1,-3.926,-3.058,1,1,0.892
0,-6.919,0.012,0.067,-0.063,-1.555,-0.149,0.44,0,1,0,-6.919,1.229,9,8,9.023
0,-6.135,0.274,1.556,1.064,0.906,0.669,1.712,0,0,1,-6.135,-5.564,1,2,1.094
1,6.307,-0.077,0.728,1.363,0.755,1.313,0.506,0,1,0,-1.797,6.307,9,9,9.163
1,-6.938,-0.352,-0.085,-0.971,-1.816,1.406,0.581,1,0,1,-7.638,-6.938,2,2,1.938
1,-3.605,0.676,-0.761,-0.156,-0.305,0.986,0.35,1,0,1,-5.387,-3.605,2,2,1.978
0,-0.701,-0.149,-0.828,-0.893,0.86,0.038,0.656,1,0,1,-0.701,-1.144,2,3,2.078
1,4.453,-0.336,-0.881,-1.692,-0.083,0.176,1.189,1,1,1,-4.035,4.453,6,6,6.031
0,-8.319,-1.249,0.629,-0.736,0.042,0.802,-1.792,0,1,1,-8.319,-4.357,5,4,5.039
1,0.644,-0.692,-0.929,-0.715,-0.478,-0.263,-0.561,0,0,0,-3.748,0.644,5,5,5.108
1,-1.376,1.075,0.61,0.788,0.208,0.385,0.901,1,1,1,-6.116,-1.376,6,6,6.073
0,1.956,1.848,-1.075,-0.55,1.45,0.539,0.219,1,0,1,1.956,1.739,2,2,2.023
1,-8.597,0.073,0.563,0.331,-0.397,-0.766,0.068,0,0,1,-9.582,-8.597,1,1,0.899
0,-2.715,0.526,0.812,-1.611,1.658,-1.531,-0.357,0,0,1,-2.715,-0.171,1,1,1.084
1,-0.153,-0.594,0.836,0.993,-1.293,-0.993,0.14,1,1,0,-9.859,-0.153,10,10,10.142
0,-3.44,-0.176,-0.422,-1.827,0.908,-1.209,0.625,0,0,1,-3.44,1.222,1,1,0.989
1,-4.012,0.476,0.484,1.274,0.157,0.325,0.556,0,0,1,-6.596,-4.012,1,1,0.997
0,-5.813,-0.32,0.543,1.895,1.403,-0.046,-0.504,1,1,1,-5.813,1.259,6,6,6.081
1,-6.835,1.219,0.567,-0.011,-0.631,-0.123,0.569,0,0,1,-7.612,-6.835,1,1,0.902
0,-5.448,-0.847,2.472,1.697,1.748,-1.492,0.796,0,1,0,-5.448,0.795,9,9,9.293
1,0.245,-0.727,0.519,0.225,0.233,0.141,-0.433,1,0,0,-6.683,0.245,6,7,6.255
1,6.851,-1.077,-0.946,0.841,0.226,-1.148,0.874,1,1,0,-0.268,6.851,10,10,10.206
0,-1.911,1.22,0.002,-0.02,1.211,-0.256,0.225,1,0,0,-1.911,5.973,6,8,6.26
1,3.28,1.217,0.371,0.472,0.796,1.809,1.762,1,0,0,-2.204,3.28,6,7,6.158
1,-3.303,-0.05,-0.185,2.436,1.333,0.747,-1.287,0,0,1,-6.403,-3.303,1,2,1.104
1,-3.568,-0.647,0.376,0.806,-0.804,-1.278,0.836,1,1,1,-10.396,-3.568,6,6,5.945
1,-13.175,-1.563,0.731,0.586,-1.487,-1.538,-1.035,0,0,1,-13.291,-13.175,1,1,0.863
0,-5.689,-0.964,1.532,-0.645,0.635,-0.159,0.946,1,1,0,-5.689,4.862,10,10,10.345
1,-8.02,-1.138,-0.073,-0.784,-1.363,0.542,0.538,1,0,1,-8.09,-8.02,2,2,1.96
0,-10.898,-1.624,0.619,-0.577,-0.38,-1.213,-2.008,1,1,1,-10.898,-6.491,6,6,5.969
1,-3.749,0.367,0.442,0.099,-1.387,1.429,0.775,0,1,1,-7.366,-3.749,5,3,4.842
1,-2.539,0.076,0.481,-0.214,-0.347,-0.939,-0.26,0,0,0,-6.218,-2.539,5,4,5.085
1,3.371,0.083,1.27,-0.167,-0.25,0.016,-0.282,1,1,0,-7.982,3.371,10,10,10.198
1,6.235,-1.384,-0.102,1.428,0.32,-0.179,0.445,1,1,0,-5.298,6.235,10,10,10.223
0,-5.472,0.625,0.462,-1.441,-0.142,0.876,-0.63,0,0,0,-5.472,0.847,5,5,5.144
0,-13.407,-1.653,0.556,-0.432,-1.199,0.425,-2.087,1,1,1,-13.407,-7.844,6,5,5.853
0,-4.221,-0.705,-0.534,-0.916,0.368,1.224,0.85,1,0,1,-4.221,-2.199,2,3,2.129
0,-6.048,-0.828,-0.733,-1.483,-1.085,-0.028,0.887,1,0,1,-6.048,-5.761,2,2,1.987
1,8.897,0.939,-0.232,-1.44,-0.595,0.439,1.503,0,1,0,-2.533,8.897,9,8,9.118
1,0.04,1.08,2.489,-0.71,-0.978,0.569,0.93,1,1,0,-10.962,0.04,10,10,10.263
1,-11.037,-1.04,1.427,0.598,-1.012,0.234,-0.738,1,0,1,-14.564,-11.037,2,2,2.024
