trt,Y,X1,X2,X3,X4,X5,X6,E1,E2,E3,Y0,Y1,trueGrp,estGrp,mmt
0,-6.142,-0.501,1.429,0.458,0.916,1.679,-1.276,0,0,0,-6.142,-3.242,5,5,5.049
0,-6.739,0.229,0.104,-0.294,0.283,0.176,0.084,0,1,1,-6.739,-0.883,5,4,4.633
1,-3.773,-1.968,1.588,0.272,-0.287,1.345,-0.666,1,0,0,-10.865,-3.773,6,7,6.135
0,-6.629,-0.969,-1.395,0.069,-1.027,0.164,-0.894,1,1,1,-6.629,-3.284,6,7,6.09
0,-6.17,1.683,0.481,-1.695,-0.786,-1.576,0.836,1,1,1,-6.17,-0.521,6,7,5.868
0,-8.327,-0.625,1.02,-1.128,0.893,0.929,-2.27,1,0,0,-8.327,1.095,6,7,6.207
0,-8.025,0.51,1.167,-1.046,0.983,-0.065,-1.545,1,0,1,-8.025,-5.35,2,2,2.023
1,0.473,-0.63,1.01,-0.357,-0.687,2.883,-0.628,1,1,0,-8.628,0.473,10,10,9.967
0,-4.861,0.896,-0.997,0.854,-0.22,0.672,0.108,1,1,1,-4.861,1.025,6,6,5.717
0,-3.36,-1.535,0.062,-1.065,-0.048,-0.407,1.488,1,1,1,-3.36,1.324,6,6,5.839
1,-5.74,-0.969,1.331,0.231,-0.533,0.042,-0.74,0,0,0,-9.017,-5.74,5,5,5.054
0,-5.187,-1.094,-0.046,0.165,1.727,-2.112,-0.252,1,1,1,-5.187,2.74,6,6,5.774
0,-6.985,-0.878,-0.256,-0.635,-1.029,-0.11,-0.095,1,1,0,-6.985,3.811,10,10,9.865
0,-8.858,1.942,1.897,1.698,-0.387,-0.557,0.635,0,0,1,-8.858,-8.244,1,1,0.986
1,-6.765,-0.172,1.431,0.524,-3.754,0.596,-1.091,0,1,0,-15.151,-6.765,9,8,8.255
1,4.988,0.742,0.516,1.437,-0.318,0.77,0.912,0,1,0,-4.143,4.988,9,9,8.785
0,-3.59,-0.718,-0.25,-0.831,-0.281,-2.88,1.875,1,0,1,-3.59,-3.26,2,2,1.844
0,-0.8,3.033,-0.309,1.212,1.238,-1.093,-0.572,0,0,1,-0.8,-2.085,1,1,0.964
0,-3.434,-0.451,-0.927,0.537,0.584,0.562,-0.463,0,0,1,-3.434,-1.762,1,1,0.92
0,-8.982,-0.348,0.432,0.059,0.352,-2.069,-0.488,1,0,1,-8.982,-7.57,2,2,2.04
0,-8.449,1.367,0.041,-0.094,-1.446,-0.827,0.814,1,1,1,-8.449,0.084,6,6,5.762
0,-6.147,-0.373,-0.461,1.073,0.073,0.659,-0.117,1,0,1,-6.147,-3.826,2,2,2.033
0,-3.261,-0.627,-1.128,0.549,1.145,0.457,-0.002,1,0,1,-3.261,0.013,2,3,2.132
